:Data_list: 20161018_ace_swepam_1m.txt
:Created: 2016 Oct 19 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 10 18  0136   57679    5760    0        1.0      685.4     1.96e+05
2016 10 18  0137   57679    5820    0        1.1      685.1     1.85e+05
2016 10 18  0138   57679    5880    0        1.1      677.2     2.07e+05
2016 10 18  0139   57679    5940    1        1.1      671.4     2.09e+05
2016 10 18  0140   57679    6000    0        1.3      674.5     2.12e+05
2016 10 18  0141   57679    6060    1        1.1      672.4     2.46e+05
2016 10 18  0142   57679    6120    0        1.1      671.6     2.42e+05
2016 10 18  0143   57679    6180    0        1.2      671.7     2.16e+05
2016 10 18  0144   57679    6240    1        1.3      668.3     1.95e+05
2016 10 18  0145   57679    6300    1        1.2      665.5     1.91e+05
2016 10 18  0146   57679    6360    0        1.2      667.3     1.98e+05
2016 10 18  0147   57679    6420    1        1.2      671.1     2.01e+05
2016 10 18  0148   57679    6480    0        1.2      672.4     2.08e+05
2016 10 18  0149   57679    6540    0        1.2      668.5     2.20e+05
2016 10 18  0150   57679    6600    0        1.3      667.1     1.95e+05
2016 10 18  0151   57679    6660    1        1.3      667.4     2.06e+05
2016 10 18  0152   57679    6720    0        1.2      687.3     2.00e+05
2016 10 18  0153   57679    6780    0        1.1      689.2     2.19e+05
2016 10 18  0154   57679    6840    0        1.2      689.1     2.22e+05
2016 10 18  0155   57679    6900    0        1.3      685.2     2.39e+05
2016 10 18  0156   57679    6960    0        1.1      685.5     2.41e+05
2016 10 18  0157   57679    7020    0        1.2      683.8     2.13e+05
2016 10 18  0158   57679    7080    0        1.1      685.1     2.28e+05
2016 10 18  0159   57679    7140    0        1.1      679.3     2.19e+05
2016 10 18  0200   57679    7200    0        1.1      674.8     2.34e+05
2016 10 18  0201   57679    7260    0        1.2      673.5     2.41e+05
2016 10 18  0202   57679    7320    0        1.2      673.6     2.27e+05
2016 10 18  0203   57679    7380    0        1.2      675.0     2.31e+05
2016 10 18  0204   57679    7440    0        1.1      672.1     2.33e+05
2016 10 18  0205   57679    7500    0        1.1      668.3     2.51e+05
2016 10 18  0206   57679    7560    0        1.3      666.9     2.46e+05
2016 10 18  0207   57679    7620    0        1.2      668.5     2.41e+05
2016 10 18  0208   57679    7680    9    -9999.9    -9999.9    -1.00e+05
2016 10 18  0209   57679    7740    1        1.2      665.1     2.40e+05
2016 10 18  0210   57679    7800    0        1.2      673.1     2.24e+05
2016 10 18  0211   57679    7860    0        1.2      688.3     2.01e+05
2016 10 18  0212   57679    7920    0        1.0      698.8     2.44e+05
2016 10 18  0213   57679    7980    0        1.1      692.6     2.40e+05
2016 10 18  0214   57679    8040    0        1.1      693.0     2.16e+05
2016 10 18  0215   57679    8100    0        0.9      699.1     2.43e+05
2016 10 18  0216   57679    8160    0        1.0      697.2     2.31e+05
2016 10 18  0217   57679    8220    0        1.1      686.7     1.97e+05
2016 10 18  0218   57679    8280    0        1.0      680.0     2.15e+05
2016 10 18  0219   57679    8340    0        1.0      677.0     2.45e+05
2016 10 18  0220   57679    8400    0        1.1      677.7     2.31e+05
2016 10 18  0221   57679    8460    0        1.2      698.3     2.04e+05
2016 10 18  0222   57679    8520    1        1.0      687.2     2.30e+05
2016 10 18  0223   57679    8580    1        1.3      680.4     2.10e+05
2016 10 18  0224   57679    8640    0        1.4      684.9     2.08e+05
2016 10 18  0225   57679    8700    0        1.0      684.6     2.09e+05
2016 10 18  0226   57679    8760    0        1.1      707.6     2.37e+05
2016 10 18  0227   57679    8820    0        1.0      700.1     1.75e+05
2016 10 18  0228   57679    8880    0        1.2      691.4     2.15e+05
2016 10 18  0229   57679    8940    0        1.1      673.0     2.26e+05
2016 10 18  0230   57679    9000    0        1.1      670.7     2.62e+05
2016 10 18  0231   57679    9060    1        1.2      669.1     2.47e+05
2016 10 18  0232   57679    9120    0        1.3      666.0     2.17e+05
2016 10 18  0233   57679    9180    0        1.3      670.7     2.12e+05
2016 10 18  0234   57679    9240    0        1.2      677.1     2.10e+05
2016 10 18  0235   57679    9300    0        1.2      678.1     2.04e+05
2016 10 18  0236   57679    9360    0        1.2      677.9     2.10e+05
2016 10 18  0237   57679    9420    0        1.2      674.8     2.27e+05
2016 10 18  0238   57679    9480    0        1.2      678.5     1.82e+05
2016 10 18  0239   57679    9540    0        1.1      673.3     2.02e+05
2016 10 18  0240   57679    9600    0        1.0      684.2     2.23e+05
2016 10 18  0241   57679    9660    9    -9999.9    -9999.9    -1.00e+05
2016 10 18  0242   57679    9720    0        1.3      679.6     2.04e+05
2016 10 18  0243   57679    9780    0        1.1      689.3     2.16e+05
2016 10 18  0244   57679    9840    0        1.2      693.5     2.61e+05
2016 10 18  0245   57679    9900    0        1.0      689.1     2.49e+05
2016 10 18  0246   57679    9960    0        1.0      687.5     2.61e+05
2016 10 18  0247   57679   10020    0        1.2      671.9     2.47e+05
2016 10 18  0248   57679   10080    0        1.3      664.2     2.20e+05
2016 10 18  0249   57679   10140    0        1.3      668.3     2.33e+05
2016 10 18  0250   57679   10200    0        1.2      669.3     2.45e+05
2016 10 18  0251   57679   10260    0        1.2      666.1     2.22e+05
2016 10 18  0252   57679   10320    0        1.2      662.5     2.22e+05
2016 10 18  0253   57679   10380    1        1.1      663.2     2.37e+05
2016 10 18  0254   57679   10440    0        1.2      668.9     2.34e+05
2016 10 18  0255   57679   10500    0        1.3      663.8     2.38e+05
2016 10 18  0256   57679   10560    0        1.2      663.2     2.35e+05
2016 10 18  0257   57679   10620    1        1.3      665.3     2.40e+05
2016 10 18  0258   57679   10680    1        1.3      664.6     2.19e+05
2016 10 18  0259   57679   10740    1        1.2      665.4     2.50e+05
2016 10 18  0300   57679   10800    0        1.2      673.7     2.24e+05
2016 10 18  0301   57679   10860    1        1.1      670.6     2.29e+05
2016 10 18  0302   57679   10920    0        1.0      668.0     2.46e+05
2016 10 18  0303   57679   10980    0        1.2      669.8     2.39e+05
2016 10 18  0304   57679   11040    0        1.3      668.2     2.10e+05
2016 10 18  0305   57679   11100    0        1.2      665.3     1.94e+05
2016 10 18  0306   57679   11160    0        1.1      663.2     2.05e+05
2016 10 18  0307   57679   11220    0        1.1      660.7     2.13e+05
2016 10 18  0308   57679   11280    0        1.1      661.5     2.04e+05
2016 10 18  0309   57679   11340    0        1.2      662.5     2.08e+05
2016 10 18  0310   57679   11400    0        1.2      661.0     2.08e+05
2016 10 18  0311   57679   11460    0        1.0      656.3     1.90e+05
2016 10 18  0312   57679   11520    0        1.3      670.4     2.42e+05
2016 10 18  0313   57679   11580    0        1.2      659.7     2.04e+05
2016 10 18  0314   57679   11640    0        1.2      659.7     2.04e+05
2016 10 18  0315   57679   11700    1        1.3      663.8     2.21e+05
2016 10 18  0316   57679   11760    0        1.3      663.4     2.16e+05
2016 10 18  0317   57679   11820    0        1.1      657.6     2.13e+05
2016 10 18  0318   57679   11880    1        1.0      655.8     2.22e+05
2016 10 18  0319   57679   11940    1        1.1      658.6     2.36e+05
2016 10 18  0320   57679   12000    0        1.2      663.3     2.45e+05
2016 10 18  0321   57679   12060    0        1.2      663.6     2.50e+05
2016 10 18  0322   57679   12120    1        1.2      660.3     2.41e+05
2016 10 18  0323   57679   12180    0        1.2      659.5     2.29e+05
2016 10 18  0324   57679   12240    1        1.2      660.7     2.33e+05
2016 10 18  0325   57679   12300    0        1.1      663.2     2.16e+05
2016 10 18  0326   57679   12360    0        1.0      664.9     2.16e+05
2016 10 18  0327   57679   12420    0        1.0      668.8     2.58e+05
2016 10 18  0328   57679   12480    1        1.3      673.7     2.43e+05
2016 10 18  0329   57679   12540    0        1.1      661.7     2.27e+05
2016 10 18  0330   57679   12600    0        1.1      664.6     2.20e+05
2016 10 18  0331   57679   12660    0        1.1      667.2     1.89e+05
2016 10 18  0332   57679   12720    1        1.2      665.9     1.94e+05
2016 10 18  0333   57679   12780    0        1.1      663.2     2.29e+05
2016 10 18  0334   57679   12840    1        1.2      661.9     2.33e+05
2016 10 18  0335   57679   12900    1        1.2      660.9     2.28e+05
2016 10 18  0336   57679   12960    1        1.2      662.3     2.34e+05
2016 10 18  0337   57679   13020    1        1.1      678.0     2.13e+05
2016 10 18  0338   57679   13080    0        1.0      693.0     2.02e+05
2016 10 18  0339   57679   13140    0        1.0      687.2     2.36e+05
2016 10 18  0340   57679   13200    0        1.0      680.3     2.54e+05
2016 10 18  0341   57679   13260    0        1.0      685.7     2.69e+05
2016 10 18  0342   57679   13320    0        0.9      685.3     2.30e+05
2016 10 18  0343   57679   13380    0        1.1      674.3     2.62e+05
2016 10 18  0344   57679   13440    0        1.4      671.5     2.28e+05
2016 10 18  0345   57679   13500    0        1.3      671.2     2.32e+05
2016 10 18  0346   57679   13560    0        1.2      662.5     2.27e+05
2016 10 18  0347   57679   13620    0        1.2      661.9     2.27e+05
2016 10 18  0348   57679   13680    0        1.2      664.0     2.52e+05
2016 10 18  0349   57679   13740    0        1.1      669.0     2.35e+05
2016 10 18  0350   57679   13800    0        1.1      673.3     2.31e+05
2016 10 18  0351   57679   13860    0        1.0      668.6     2.18e+05
2016 10 18  0352   57679   13920    0        1.1      661.3     2.12e+05
2016 10 18  0353   57679   13980    0        1.2      659.6     2.27e+05
2016 10 18  0354   57679   14040    0        1.1      665.9     2.28e+05
2016 10 18  0355   57679   14100    0        1.1      670.0     2.12e+05
2016 10 18  0356   57679   14160    0        1.2      665.4     2.20e+05
2016 10 18  0357   57679   14220    0        1.3      668.4     2.33e+05
2016 10 18  0358   57679   14280    0        1.0      661.6     3.02e+05
2016 10 18  0359   57679   14340    1        1.2      660.4     2.42e+05
2016 10 18  0400   57679   14400    0        1.3      655.9     2.07e+05
2016 10 18  0401   57679   14460    0        1.2      658.3     2.21e+05
2016 10 18  0402   57679   14520    0        1.2      657.6     2.29e+05
2016 10 18  0403   57679   14580    1        1.3      658.8     2.04e+05
2016 10 18  0404   57679   14640    0        1.2      657.9     2.03e+05
2016 10 18  0405   57679   14700    0        1.2      658.3     2.01e+05
2016 10 18  0406   57679   14760    0        1.2      659.8     2.02e+05
2016 10 18  0407   57679   14820    1        1.2      655.7     1.98e+05
2016 10 18  0408   57679   14880    0        1.1      656.3     2.29e+05
2016 10 18  0409   57679   14940    0        1.1      657.3     2.41e+05
2016 10 18  0410   57679   15000    1        1.2      654.0     2.01e+05
2016 10 18  0411   57679   15060    0        1.2      652.1     1.74e+05
2016 10 18  0412   57679   15120    0        1.1      651.9     1.74e+05
2016 10 18  0413   57679   15180    0        1.1      655.2     1.70e+05
2016 10 18  0414   57679   15240    0        1.2      652.6     1.87e+05
2016 10 18  0415   57679   15300    0        1.1      654.7     1.96e+05
2016 10 18  0416   57679   15360    0        1.1      655.6     2.13e+05
2016 10 18  0417   57679   15420    0        1.2      661.2     1.75e+05
2016 10 18  0418   57679   15480    1        1.0      660.9     1.82e+05
2016 10 18  0419   57679   15540    0        1.1      655.4     1.70e+05
2016 10 18  0420   57679   15600    0        1.1      654.6     1.68e+05
2016 10 18  0421   57679   15660    0        1.1      660.3     1.84e+05
2016 10 18  0422   57679   15720    0        1.1      662.9     1.83e+05
2016 10 18  0423   57679   15780    0        1.3      665.0     1.80e+05
2016 10 18  0424   57679   15840    1        1.2      659.6     1.81e+05
2016 10 18  0425   57679   15900    1        1.1      654.9     2.13e+05
2016 10 18  0426   57679   15960    1        1.1      657.2     2.35e+05
2016 10 18  0427   57679   16020    0        1.1      661.1     2.19e+05
2016 10 18  0428   57679   16080    0        1.1      661.7     2.17e+05
2016 10 18  0429   57679   16140    1        1.1      656.8     1.96e+05
2016 10 18  0430   57679   16200    1        1.0      658.0     2.16e+05
2016 10 18  0431   57679   16260    0        1.1      661.0     1.95e+05
2016 10 18  0432   57679   16320    0        1.0      663.7     2.21e+05
2016 10 18  0433   57679   16380    0        1.0      661.5     1.87e+05
2016 10 18  0434   57679   16440    0        1.1      661.9     1.98e+05
2016 10 18  0435   57679   16500    0        1.1      655.5     2.34e+05
2016 10 18  0436   57679   16560    0        1.1      678.8     1.77e+05
2016 10 18  0437   57679   16620    0        1.1      678.4     1.68e+05
2016 10 18  0438   57679   16680    1        1.1      667.9     2.12e+05
2016 10 18  0439   57679   16740    0        1.2      673.8     2.10e+05
2016 10 18  0440   57679   16800    0        1.1      674.4     1.74e+05
2016 10 18  0441   57679   16860    0        1.1      672.6     1.54e+05
2016 10 18  0442   57679   16920    0        1.2      673.5     1.57e+05
2016 10 18  0443   57679   16980    0        1.2      670.7     1.61e+05
2016 10 18  0444   57679   17040    0        1.1      673.1     1.49e+05
2016 10 18  0445   57679   17100    0        1.2      671.0     1.45e+05
2016 10 18  0446   57679   17160    0        1.2      670.3     1.59e+05
2016 10 18  0447   57679   17220    0        1.1      664.3     1.55e+05
2016 10 18  0448   57679   17280    0        1.2      668.2     1.53e+05
2016 10 18  0449   57679   17340    0        1.1      665.3     1.59e+05
2016 10 18  0450   57679   17400    0        1.1      663.4     1.67e+05
2016 10 18  0451   57679   17460    0        1.1      674.6     1.85e+05
2016 10 18  0452   57679   17520    0        1.2      680.6     1.79e+05
2016 10 18  0453   57679   17580    0        1.2      681.7     1.77e+05
2016 10 18  0454   57679   17640    0        1.3      681.0     2.01e+05
2016 10 18  0455   57679   17700    0        1.2      687.5     1.80e+05
2016 10 18  0456   57679   17760    0        1.1      683.4     1.64e+05
2016 10 18  0457   57679   17820    0        1.1      669.8     1.76e+05
2016 10 18  0458   57679   17880    0        1.2      658.3     1.86e+05
2016 10 18  0459   57679   17940    0        1.2      657.8     1.79e+05
2016 10 18  0500   57679   18000    0        1.1      671.0     1.81e+05
2016 10 18  0501   57679   18060    0        1.1      675.6     1.75e+05
2016 10 18  0502   57679   18120    0        1.0      677.2     1.67e+05
2016 10 18  0503   57679   18180    0        1.0      673.5     1.62e+05
2016 10 18  0504   57679   18240    0        1.2      674.1     1.63e+05
2016 10 18  0505   57679   18300    0        1.0      671.5     1.60e+05
2016 10 18  0506   57679   18360    0        1.2      666.2     1.68e+05
2016 10 18  0507   57679   18420    0        1.2      678.7     1.92e+05
2016 10 18  0508   57679   18480    0        1.1      685.3     1.67e+05
2016 10 18  0509   57679   18540    0        1.2      677.8     1.61e+05
2016 10 18  0510   57679   18600    0        1.2      675.9     1.69e+05
2016 10 18  0511   57679   18660    0        1.2      667.0     1.79e+05
2016 10 18  0512   57679   18720    0        1.1      665.2     1.71e+05
2016 10 18  0513   57679   18780    0        1.2      667.0     1.53e+05
2016 10 18  0514   57679   18840    0        1.2      664.9     1.46e+05
2016 10 18  0515   57679   18900    0        1.2      668.1     1.52e+05
2016 10 18  0516   57679   18960    0        1.1      672.3     1.61e+05
2016 10 18  0517   57679   19020    0        1.2      670.0     1.71e+05
2016 10 18  0518   57679   19080    0        1.2      666.3     1.78e+05
2016 10 18  0519   57679   19140    0        1.0      661.0     1.92e+05
2016 10 18  0520   57679   19200    1        1.2      655.2     1.81e+05
2016 10 18  0521   57679   19260    0        1.1      652.5     1.78e+05
2016 10 18  0522   57679   19320    0        1.2      651.7     1.96e+05
2016 10 18  0523   57679   19380    0        0.9      649.0     2.15e+05
2016 10 18  0524   57679   19440    0        1.0      649.7     2.13e+05
2016 10 18  0525   57679   19500    0        1.1      649.7     1.94e+05
2016 10 18  0526   57679   19560    0        1.1      649.6     1.88e+05
2016 10 18  0527   57679   19620    0        1.1      645.3     1.98e+05
2016 10 18  0528   57679   19680    0        1.1      649.0     2.02e+05
2016 10 18  0529   57679   19740    0        1.1      652.9     1.99e+05
2016 10 18  0530   57679   19800    1        1.0      654.4     1.97e+05
2016 10 18  0531   57679   19860    0        0.9      655.3     2.04e+05
2016 10 18  0532   57679   19920    1        1.1      654.2     1.98e+05
2016 10 18  0533   57679   19980    0        1.0      653.0     2.02e+05
2016 10 18  0534   57679   20040    0        1.0      655.6     2.03e+05
2016 10 18  0535   57679   20100    0        1.1      654.2     1.45e+05
2016 10 18  0536   57679   20160    0        1.2      646.3     1.66e+05
2016 10 18  0537   57679   20220    1        1.0      654.5     1.25e+05
2016 10 18  0538   57679   20280    0        1.0      657.3     1.52e+05
2016 10 18  0539   57679   20340    0        1.0      649.0     1.49e+05
2016 10 18  0540   57679   20400    0        1.0      647.7     1.37e+05
2016 10 18  0541   57679   20460    0        0.9      647.2     1.38e+05
2016 10 18  0542   57679   20520    0        1.1      651.4     1.37e+05
2016 10 18  0543   57679   20580    0        1.1      649.9     1.43e+05
2016 10 18  0544   57679   20640    0        1.1      654.1     1.39e+05
2016 10 18  0545   57679   20700    0        1.1      659.5     1.36e+05
2016 10 18  0546   57679   20760    0        1.1      661.2     1.30e+05
2016 10 18  0547   57679   20820    0        1.0      662.3     1.27e+05
2016 10 18  0548   57679   20880    0        0.9      656.3     1.49e+05
2016 10 18  0549   57679   20940    0        1.1      650.6     1.34e+05
2016 10 18  0550   57679   21000    0        1.1      649.1     1.41e+05
2016 10 18  0551   57679   21060    1        1.3      649.8     1.41e+05
2016 10 18  0552   57679   21120    1        1.0      638.3     1.61e+05
2016 10 18  0553   57679   21180    0        1.0      639.4     1.48e+05
2016 10 18  0554   57679   21240    0        1.0      636.6     1.44e+05
2016 10 18  0555   57679   21300    1        1.1      633.9     1.45e+05
2016 10 18  0556   57679   21360    0        1.0      632.8     1.48e+05
2016 10 18  0557   57679   21420    0        0.9      632.8     1.55e+05
2016 10 18  0558   57679   21480    0        0.9      634.8     1.49e+05
2016 10 18  0559   57679   21540    0        0.9      635.8     1.45e+05
2016 10 18  0600   57679   21600    1        1.0      634.9     1.49e+05
2016 10 18  0601   57679   21660    1        1.0      635.4     1.48e+05
2016 10 18  0602   57679   21720    0        1.0      635.9     1.50e+05
2016 10 18  0603   57679   21780    1        1.0      637.2     1.55e+05
2016 10 18  0604   57679   21840    0        0.9      639.0     1.60e+05
2016 10 18  0605   57679   21900    1        1.0      637.2     1.68e+05
2016 10 18  0606   57679   21960    0        0.9      636.5     1.55e+05
2016 10 18  0607   57679   22020    1        1.0      636.8     1.50e+05
2016 10 18  0608   57679   22080    0        1.0      643.4     1.47e+05
2016 10 18  0609   57679   22140    0        1.0      638.1     1.42e+05
2016 10 18  0610   57679   22200    1        1.0      636.7     1.56e+05
2016 10 18  0611   57679   22260    0        1.0      644.3     1.84e+05
2016 10 18  0612   57679   22320    0        0.9      649.4     1.92e+05
2016 10 18  0613   57679   22380    0        0.9      650.8     1.57e+05
2016 10 18  0614   57679   22440    0        0.9      650.1     1.47e+05
2016 10 18  0615   57679   22500    0        1.0      654.5     1.38e+05
2016 10 18  0616   57679   22560    0        1.0      658.6     1.57e+05
2016 10 18  0617   57679   22620    0        1.0      651.6     1.71e+05
2016 10 18  0618   57679   22680    0        1.1      640.7     1.58e+05
2016 10 18  0619   57679   22740    1        1.1      638.6     1.59e+05
2016 10 18  0620   57679   22800    0        1.1      646.8     1.69e+05
2016 10 18  0621   57679   22860    0        0.9      661.2     1.60e+05
2016 10 18  0622   57679   22920    0        1.0      645.5     1.63e+05
2016 10 18  0623   57679   22980    1        0.9      646.5     1.60e+05
2016 10 18  0624   57679   23040    0        1.1      642.8     1.39e+05
2016 10 18  0625   57679   23100    0        1.0      644.3     1.33e+05
2016 10 18  0626   57679   23160    0        1.1      644.4     1.46e+05
2016 10 18  0627   57679   23220    1        1.1      645.3     1.50e+05
2016 10 18  0628   57679   23280    0        0.9      643.9     1.44e+05
2016 10 18  0629   57679   23340    0        0.8      645.7     1.38e+05
2016 10 18  0630   57679   23400    0        0.9      639.0     1.43e+05
2016 10 18  0631   57679   23460    0        0.9      635.6     1.67e+05
2016 10 18  0632   57679   23520    0        0.8      635.8     1.81e+05
2016 10 18  0633   57679   23580    0        1.0      644.4     1.90e+05
2016 10 18  0634   57679   23640    0        1.1      659.3     1.79e+05
2016 10 18  0635   57679   23700    0        1.1      678.2     1.48e+05
2016 10 18  0636   57679   23760    0        1.0      670.1     1.17e+05
2016 10 18  0637   57679   23820    0        0.9      666.2     1.13e+05
2016 10 18  0638   57679   23880    0        1.0      661.8     1.38e+05
2016 10 18  0639   57679   23940    0        1.0      660.0     1.29e+05
